REPORT_DATE,REGION_NAME,PORTFOLIO_NAME,MARKET_DATE,MARKET_HOUR,REALIZED_BOOL,DA_MW,DA_LMP,GENERATION_MW,RT_LMP,PREVIOUS_DAY_FORECAST,PREVIOUS_DAY_FORECAST_VOLUME,PREVIOUS_DAY_FORECAST_PERC10,PREVIOUS_DAY_FORECAST_PERC90
2022-11-01,MISO,Sugar Creek,2022-01-01,1,TRUE,0,22.36,54,22.36,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,2,TRUE,0,22.75,53.001,22.75,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,3,TRUE,0,22.35,73.999,22.35,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,4,TRUE,0,21.58,93.001,21.58,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,5,TRUE,0,21.19,92,21.19,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,6,TRUE,0,20.46,82,20.46,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,7,TRUE,0,21.77,62.999,21.77,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,8,TRUE,0,21.82,60.999,21.82,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,9,TRUE,0,22.23,76.001,22.23,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,10,TRUE,0,22.74,107.999,22.74,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,11,TRUE,0,22.65,150.001,22.65,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,12,TRUE,0,25.08,181.001,25.08,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,13,TRUE,0,25.33,176.999,25.33,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,14,TRUE,0,24,178.001,24,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,15,TRUE,0,24.56,82.999,24.56,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,16,TRUE,0,24.43,78.999,24.43,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,17,TRUE,0,24.55,114.999,24.55,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,18,TRUE,0,26.87,184.001,26.87,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,19,TRUE,0,28.47,163.001,28.47,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,20,TRUE,0,27.17,161,27.17,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,21,TRUE,0,25.95,162,25.95,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,22,TRUE,0,27.05,165.002,27.05,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,23,TRUE,0,26.19,156.001,26.19,,,,
2022-11-01,MISO,Sugar Creek,2022-01-01,24,TRUE,0,27.12,138.001,27.12,,,,
2022-11-01,MISO,Sugar Creek,2022-01-02,1,TRUE,0,24.33,159,24.33,2022-01-01T06:00:00Z,179.52000000000,159.432000000000,199.607000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,2,TRUE,0,23.6,122.001,23.6,2022-01-01T06:00:00Z,179.39800000000,159.273000000000,199.524000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,3,TRUE,0,23.32,117.001,23.32,2022-01-01T06:00:00Z,178.51600000000,158.271000000000,198.761000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,4,TRUE,0,23.41,124.001,23.41,2022-01-01T06:00:00Z,173.82600000000,153.055000000000,194.597000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,5,TRUE,0,23.02,114,23.02,2022-01-01T06:00:00Z,168.08200000000,146.671000000000,189.493000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,6,TRUE,0,23.06,102,23.06,2022-01-01T06:00:00Z,158.33000000000,135.848000000000,180.812000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,7,TRUE,0,23.76,92.001,23.76,2022-01-01T06:00:00Z,146.94400000000,123.214000000000,170.675000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,8,TRUE,0,25.62,89.002,25.62,2022-01-01T06:00:00Z,137.94400000000,113.218000000000,162.670000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,9,TRUE,0,25.71,98.999,25.71,2022-01-01T06:00:00Z,138.77300000000,114.105000000000,163.441000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,10,TRUE,0,28.63,140.001,28.63,2022-01-01T06:00:00Z,117.68400000000,90.717000000000,144.652000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,11,TRUE,0,32.17,125,32.17,2022-01-01T06:00:00Z,104.66700000000,76.263000000000,133.070000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,12,TRUE,0,30.82,86.002,30.82,2022-01-01T06:00:00Z,100.94600000000,72.117000000000,129.774000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,13,TRUE,0,33.24,49.002,33.24,2022-01-01T06:00:00Z,97.92500000000,69.387000000000,126.464000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,14,TRUE,0,32.95,43,32.95,2022-01-01T06:00:00Z,89.69600000000,62.011000000000,117.380000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,15,TRUE,0,31.05,29.001,31.05,2022-01-01T06:00:00Z,81.34100000000,54.526000000000,108.155000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,16,TRUE,0,31.23,26.999,31.23,2022-01-01T06:00:00Z,77.09700000000,50.709000000000,103.486000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,17,TRUE,0,52.18,41.001,52.18,2022-01-01T06:00:00Z,76.46000000000,50.108000000000,102.812000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,18,TRUE,0,40.98,30.001,40.98,2022-01-01T06:00:00Z,75.34700000000,49.083000000000,101.611000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,19,TRUE,0,36.92,38,36.92,2022-01-01T06:00:00Z,69.93600000000,44.228000000000,95.644000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,20,TRUE,0,31.26,44.003,31.26,2022-01-01T06:00:00Z,63.55000000000,38.505000000000,88.594000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,21,TRUE,0,30.87,40.001,30.87,2022-01-01T06:00:00Z,58.40400000000,33.889000000000,82.918000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,22,TRUE,0,28.06,53.001,28.06,2022-01-01T06:00:00Z,52.15700000000,28.294000000000,76.020000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,23,TRUE,0,26.68,36.001,26.68,2022-01-01T06:00:00Z,44.80300000000,21.714000000000,67.891000000000
2022-11-01,MISO,Sugar Creek,2022-01-02,24,TRUE,0,27.07,14.002,27.07,2022-01-01T06:00:00Z,38.61200000000,16.173000000000,61.052000000000
2022-11-01,MISO,Sugar Creek,2022-01-03,1,TRUE,0,26.31,12.001,26.31,2022-01-02T06:00:00Z,45.75100000000,23.188000000000,68.315000000000
2022-11-01,MISO,Sugar Creek,2022-01-03,2,TRUE,0,27.25,24.002,27.25,2022-01-02T06:00:00Z,42.63700000000,20.377000000000,64.896000000000
2022-11-01,MISO,Sugar Creek,2022-01-03,3,TRUE,0,26.11,17.001,26.11,2022-01-02T06:00:00Z,41.85600000000,19.652000000000,64.060000000000
2022-11-01,MISO,Sugar Creek,2022-01-03,4,TRUE,0,27.3,9.001,27.3,2022-01-02T06:00:00Z,34.69800000000,13.230000000000,56.166000000000
